Username,Date,Star Rating,Title,Review Comment,Review Link,User Profile Link
"Juli",01-Jul-2016,5,"Five Stars","This stuff is wonderful.  No strong smell, not sticky or heavy.  feels wonderful when applying.","https://www.amazon.com/gp/customer-reviews/R1XPNJUU9DR6VI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4","https://www.amazon.com/gp/pdp/profile/AN5O3AQJ30M56/ref=cm_cr_arp_d_pdp?ie=UTF8"
"Linda Miller",24-May-2016,4,"Four Stars","ok","https://www.amazon.com/gp/customer-reviews/R1PU1JZHAKV2RS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4","https://www.amazon.com/gp/pdp/profile/A2URPK0GTQ40UJ/ref=cm_cr_arp_d_pdp?ie=UTF8"
"Max&amp;Lani",05-Nov-2015,5,"I like this for my hair","I like this for my hair. It's a tiny size. 1/3 the size of the regular size - nice travel size.","https://www.amazon.com/gp/customer-reviews/RX136U1Q28W7K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4","https://www.amazon.com/gp/pdp/profile/AB14Q6QDIXMCI/ref=cm_cr_arp_d_pdp?ie=UTF8"
"carol sutherland",05-Jul-2015,5,"Five Stars","i love this product,make,s your hair fill so good,great.recomend it.","https://www.amazon.com/gp/customer-reviews/R1B6J67X6UOTHR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4","https://www.amazon.com/gp/pdp/profile/A1O03SWQR28YZ4/ref=cm_cr_arp_d_pdp?ie=UTF8"
