Username,Date,Star Rating,Title,Review Comment,Review Link,User Profile Link
"",15-Apr-2017,1,"","Worst update ever... dont update freinds","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPRjlPQ3lRdkZYZlBZR0dXcVRTZEVHR1BfMjlfR3g5ZjlVT0Joa1J6N19mamgyNzQ0Wk40bFlfR1ltYVM5S0FmRlR0R21UbGZfOG5zM1NCbFE",""
"",15-Apr-2017,5,"","Super app","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPR183YlpFVWRvdkpFSGJLY0IzdDBWTnlPTkZFY1E5ZHJpZUhHNjJWRjZ4RVFBZ1FXQ093YUotUnI5SDhkNllOdnhacnZXVzUtajB1T252V1E",""
"Stephen Rogers",15-Apr-2017,5,"","Its a good app","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPRW5rbjkxdHhDZE54QjBRNW1JUFMwSUlnNXl5TXFLbjRISng1M3dsVmF1di10THlzd0JySndBVHhUN21UaHF0SUl3UWIwZ01lQ0wwWFFkMFE",""
"rajesh kumar onumu",15-Apr-2017,5,"","bahubali","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPRjRmaFMwTWxtdmVCbFRDSGxKaXJBR19JWTlOdlJJaVljbXp2eUNDc28yUThFTzBsNklDbzZGR2pYZEJmTjZ6OFIyUlo2aVJIdFJMVmxwYmc",""
"",15-Apr-2017,5,"","Update this facebook to none limit friends  on Facebook accounts","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPRzM0YmhEa3VCb0FsVUNKYVpUT0xFbHB2V0cwYy10U2Y1X2FxUFJZRTgxNFZ5OU5SMWJ0aUgtRTNsNGFRcWM3cThQMzZTS1RGT2pQTTBMcHc",""
"Mary June Silva",15-Apr-2017,1,"","Pictures on news feed expands.","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPSGd3NmxlQ0x4N0g1SlFxWGoxbXVlNjZsVWVJRGU0ZnFUbVpsbm9TMGEyRm1QVHJxX0hQTkNLM0lfT0JRWG9xR2l5ZTVxY19STHAyMkYyMVE",""
"Mahmud Hasan",15-Apr-2017,5,"","Excellent","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPSGtVS2lHeDM2VXh1WnBXTG1VX251VFI0ZXByNUk3aXB6YUhnU00teHJZYnhKLXQ5QTFoRE5UTUVjbFdaYU5xZUh3dldtT3dha1MteWtILVE",""
"",15-Apr-2017,5,"","Update first","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPR0t2X1dvd2ZFZDFPcWxWR3lYYmw3bl9vOWc5U0xxRFllOWZNLWpYWkplREZwdkVMTlZPZmhwdWdPbWNJaS1tdi1iZFdSa1ZJbTRxaGZ6akE",""
"Dennis Perez",15-Apr-2017,5,"","Nice application","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPSFFlTE5CVjd0MExoZ3B0eGpVamhqRm9aNE16czE1czhzUm4xRDNkekU1MW1KY2JjaEVkbUM4OHJDTkVyd2swazg2VlZZN3lWNTc1eFJ1RWc",""
"Jezebel Porras",15-Apr-2017,5,"","Love it","https://play.google.com/store/apps/details?id=com.facebook.katana&reviewId=Z3A6QU9xcFRPRU9IT2VLV0szTi0xQ08yQmVWeVlpcUk0UjhQejRZcWZZTEd2YU54Y215Wm04bENNZk9BMW4wUEF0dWRUNjRKdXlLRW5UblBRdWhuakU3M1E",""
